date,AverageTemperature
1970-01-01,-7.058
1970-02-01,-2.1630000000000003
1970-03-01,1.237
1970-04-01,8.67
1970-05-01,15.856
1970-06-01,19.351
1970-07-01,22.783
1970-08-01,22.381
1970-09-01,18.664
1970-10-01,12.277
1970-11-01,6.502000000000001
1970-12-01,-1.297
1971-01-01,-5.494
1971-02-01,-1.633
1971-03-01,2.072
1971-04-01,7.83
1971-05-01,13.54
1971-06-01,20.662
1971-07-01,22.019
1971-08-01,21.194000000000003
1971-09-01,19.228
1971-10-01,14.26
1971-11-01,4.702
1971-12-01,1.794
1972-01-01,-1.365
1972-02-01,-3.369
1972-03-01,1.878
1972-04-01,7.159000000000002
1972-05-01,15.495
1972-06-01,18.195
1972-07-01,22.986
1972-08-01,21.245
1972-09-01,18.178
1972-10-01,8.725
1972-11-01,3.863
1972-12-01,0.8870000000000001
1973-01-01,-0.8140000000000001
1973-02-01,-2.392
1973-03-01,6.242000000000001
1973-04-01,9.853
1973-05-01,13.349
1973-06-01,21.462
1973-07-01,22.991
1973-08-01,23.001
1973-09-01,18.000999999999994
1973-10-01,12.403
1973-11-01,6.446000000000001
1973-12-01,0.977
1974-01-01,-1.332
1974-02-01,-2.545
1974-03-01,3.426
1974-04-01,10.602
1974-05-01,14.467
1974-06-01,18.91
1974-07-01,22.439
1974-08-01,21.826
1974-09-01,16.872999999999998
1974-10-01,9.095
1974-11-01,6.159
1974-12-01,1.0260000000000002
1975-01-01,-0.2999999999999998
1975-02-01,-0.46
1975-03-01,2.259
1975-04-01,6.582000000000002
1975-05-01,17.211000000000002
1975-06-01,20.172
1975-07-01,22.781
1975-08-01,21.763
1975-09-01,15.644999999999998
1975-10-01,12.991
1975-11-01,8.525
1975-12-01,-0.454
1976-01-01,-5.3420000000000005
1976-02-01,1.395
1976-03-01,4.859
1976-04-01,10.814
1976-05-01,14.376
1976-06-01,21.404
1976-07-01,21.363000000000003
1976-08-01,21.179
1976-09-01,16.598999999999997
1976-10-01,9.067
1976-11-01,2.623
1976-12-01,-3.933
1977-01-01,-8.046
1977-02-01,-1.756
1977-03-01,5.867000000000001
1977-04-01,10.156
1977-05-01,16.549
1977-06-01,18.995
1977-07-01,22.967
1977-08-01,21.687
1977-09-01,17.987000000000002
1977-10-01,10.313
1977-11-01,6.574
1977-12-01,-1.7919999999999998
1978-01-01,-4.666
1978-02-01,-6.216
1978-03-01,1.27
1978-04-01,8.471
1978-05-01,14.316
1978-06-01,19.653
1978-07-01,21.578000000000003
1978-08-01,22.579
1978-09-01,16.487000000000002
1978-10-01,10.517
1978-11-01,5.981
1978-12-01,0.085
1979-01-01,-2.603
1979-02-01,-7.141
1979-03-01,5.2330000000000005
1979-04-01,8.913
1979-05-01,15.909
1979-06-01,18.832
1979-07-01,22.35
1979-08-01,21.741
1979-09-01,17.493
1979-10-01,10.71
1979-11-01,7.792000000000001
1979-12-01,1.065
1980-01-01,-2.047
1980-02-01,-3.713
1980-03-01,2.0340000000000003
1980-04-01,9.922
1980-05-01,16.464000000000002
1980-06-01,18.772
